No,ワイン種別,タイトル,生産者,ヴィンテージ,産地,品種,容量ml,価格帯,想定小売価格,本数,在庫金額,再現性,ポジション
1,スパークリング,モエ・エ・シャンドン ブリュット アンペリアル NV,Moët & Chandon,,フランス / シャンパーニュ,Pinot Noir / Meunier / Chardonnay,750,A(〜3万),20000,8,160000,◎,全店の基準ボトル。最回転
2,スパークリング,ヴーヴ・クリコ イエローラベル ブリュット NV,Veuve Clicquot,,フランス / シャンパーニュ,Pinot Noir / Chardonnay / Meunier,750,A(〜3万),22000,6,132000,◎,モエの対抗軸。指名率高
3,スパークリング,モエ・エ・シャンドン アイス アンペリアル NV,Moët & Chandon,,フランス / シャンパーニュ,Pinot Noir / Meunier / Chardonnay,750,A(〜3万),26000,5,130000,◎,ロック提供可。卓上映え
4,スパークリング,ボランジェ スペシャル・キュヴェ NV,Bollinger,,フランス / シャンパーニュ,Pinot Noir / Chardonnay / Meunier,750,A(〜3万),28000,3,84000,◎,food-friendly。飲食店向け
5,スパークリング,デラモット ブラン・ド・ブラン NV,Delamotte,,フランス / シャンパーニュ,Chardonnay,750,A(〜3万),28000,3,84000,○,サロンの弟分。ル・メニル産BdB
6,スパークリング,ルイ・ロデレール コレクション NV,Louis Roederer,,フランス / シャンパーニュ,Chardonnay / Pinot Noir / Meunier,750,A(〜3万),28000,3,84000,◎,クリスタルへの導線
7,スパークリング,ルイナール ブラン・ド・ブラン NV,Ruinart,,フランス / シャンパーニュ,Chardonnay,750,B(3〜5万),35000,3,105000,◎,白系の別格感。和食にも可
8,スパークリング,ローラン・ペリエ キュヴェ ロゼ NV,Laurent-Perrier,,フランス / シャンパーニュ,Pinot Noir,750,B(3〜5万),35000,3,105000,◎,ロゼの定番。ボトル形状が映える
9,スパークリング,ヴーヴ・クリコ ラ・グランダム 2015,Veuve Clicquot,2015,フランス / シャンパーニュ,Pinot Noir / Chardonnay,750,B(3〜5万),45000,2,90000,○,VC上位。ドンペリの横に置く
10,スパークリング,ドン ペリニヨン 2015,Dom Pérignon,2015,フランス / シャンパーニュ,Chardonnay / Pinot Noir,750,B(3〜5万),48000,8,384000,◎,最重要SKU。指名の基準点
11,スパークリング,ペリエ・ジュエ ベル エポック 2016,Perrier-Jouët,2016,フランス / シャンパーニュ,Chardonnay / Pinot Noir / Meunier,750,B(3〜5万),45000,4,180000,◎,花柄。女性客・記念日に強い
12,スパークリング,クリュッグ グランド キュヴェ NV,Krug,,フランス / シャンパーニュ,Pinot Noir / Chardonnay / Meunier,750,C(5〜10万),65000,3,195000,○,クリュッグ。通好みの指名
13,スパークリング,テタンジェ コント ド シャンパーニュ ブラン・ド・ブラン 2013,Taittinger,2013,フランス / シャンパーニュ,Chardonnay,750,C(5〜10万),65000,2,130000,○,プレステージBdBの代表
14,スパークリング,ボランジェ ラ グランダネ 2015,Bollinger,2015,フランス / シャンパーニュ,Pinot Noir / Chardonnay,750,C(5〜10万),60000,2,120000,○,ヴィンテージ・ボランジェ
15,スパークリング,アルマン ド ブリニャック ブリュット ゴールド NV,Armand de Brignac,,フランス / シャンパーニュ,Chardonnay / Pinot Noir / Meunier,750,C(5〜10万),85000,3,255000,○,金ボトル。ボトルコール向き
16,スパークリング,ドン ペリニヨン ロゼ 2009,Dom Pérignon,2009,フランス / シャンパーニュ,Pinot Noir / Chardonnay,750,C(5〜10万),95000,3,285000,○,ドンペリピンク。単価上げの主力
17,スパークリング,ルイ・ロデレール クリスタル 2016,Louis Roederer,2016,フランス / シャンパーニュ,Chardonnay / Pinot Noir,750,D(10〜20万),150000,3,450000,○,クリスタル。最上位の定番
